検査実施日,広島市(検査件数),広島市(陽性件数),呉市(検査件数),呉市(陽性件数),福山市(検査件数),福山市(陽性件数),県保健所管内分(検査件数),県保健所管内分(陽性件数),合計(検査件数),合計(陽性件数)
1/30～2/2,1,0,0,0,2,0,0,0,3,0
2/3～2/9,0,0,0,0,0,0,0,0,0,0
2/10～2/16,1,0,1,0,2,0,1,0,5,0
2/17～2/23,12,0,5,0,0,0,5,0,22,0
2/24～3/1,20,0,5,0,8,0,19,0,52,0
3/2～3/8,68,1,5,0,14,0,53,0,140,1
3/9～3/15,121,0,10,0,25,0,85,0,241,0
3/16～3/22,66,0,10,0,25,0,67,2,168,2
3/23～3/29,133,3,11,0,41,0,87,0,272,3
3/30～4/5,204,5,14,0,74,3,160,1,452,9
4/6～4/12,279,6,34,0,106,10,407,33,826,49
4/13～4/19,616,50,33,1,241,8,524,14,1414,73
4/20～4/26,331,8,36,0,242,1,352,3,961,12
4/27～5/3,335,11,23,0,161,0,379,5,898,16
5/4,22,0,0,0,5,0,17,0,44,0
5/5,40,0,2,0,16,0,32,0,90,0
5/6,23,0,3,0,7,0,25,0,58,0
5/7,44,0,1,0,9,0,54,0,108,0
5/8,48,0,0,0,24,0,53,0,125,0
5/9,22,0,0,0,20,0,37,0,79,0
5/10,6,0,1,0,12,0,25,0,44,0
合計,2392,84,194,1,1034,22,"
2382","58
",6002,165
